"date","cluster","rain","snow","thunderstorm","visibility","crosswind","scheduled"
"06/26/2014",20,1,0,0,9.2,9.3,1149
"06/27/2014",20,0,0,0,10,5.8,1150
"06/28/2014",12,0,0,0,10,6.1,956
"06/29/2014",12,0,0,0,10,7.3,1013
"06/30/2014",20,0,0,0,10,6.5,1103
"07/01/2014",3,0,0,0,10,9.9,1051
"07/02/2014",20,0,0,1,9,11.8,1113
"07/03/2014",19,1,0,1,8.3,5.8,1139
"07/04/2014",19,1,0,1,5.7,12.2,909
"07/05/2014",10,0,0,0,10,16.4,913
"07/06/2014",20,0,0,0,10,11.1,1053
"07/07/2014",20,0,0,0,10,9.4,1156
"07/08/2014",20,0,0,0,10,10.3,1140
"07/09/2014",20,0,0,0,10,10.6,1152
"07/10/2014",20,0,0,0,10,5.4,1156
"07/11/2014",20,0,0,0,10,6.9,1156
"07/12/2014",12,0,0,0,9,4.6,970
"07/13/2014",20,0,0,0,10,8.9,1047
"07/14/2014",20,1,0,1,9.1,9.4,1156
"07/15/2014",19,0,0,1,6.4,5.5,1139
"07/16/2014",19,1,0,1,8.7,5.3,1153
"07/17/2014",20,0,0,0,10,4.3,1155
"07/18/2014",20,0,0,0,10,5.5,1156
"07/19/2014",20,0,0,0,10,4.9,970
"07/20/2014",20,0,0,0,10,6.6,1047
"07/21/2014",20,0,0,0,10,4.8,1156
"07/22/2014",20,0,0,0,10,5.4,1138
"07/23/2014",20,0,0,0,10,8.4,1154
"07/24/2014",20,0,0,0,10,7.4,1157
"07/25/2014",20,0,0,0,10,6.4,1159
"07/26/2014",3,0,0,0,10,6.3,970
"07/27/2014",20,0,0,0,10,6.7,1049
"07/28/2014",20,1,0,1,9.3,9.7,1158
"07/29/2014",20,0,0,0,10,13.4,1140
"07/30/2014",20,0,0,0,10,4.7,1153
"07/31/2014",20,0,0,0,10,7.6,1160
"08/01/2014",20,0,0,0,10,6.8,1160
"08/02/2014",11,1,0,0,7.1,7.7,971
"08/03/2014",11,1,0,0,7.7,5.2,1047
"08/04/2014",20,0,0,0,10,4.7,1154
"08/05/2014",20,0,0,0,10,4.4,1140
"08/06/2014",20,0,0,0,10,6.7,1154
"08/07/2014",20,0,0,0,10,9.4,1157
"08/08/2014",20,0,0,0,10,11,1158
"08/09/2014",12,0,0,0,10,4.5,973
"08/10/2014",12,0,0,0,10,4.7,1042
"08/11/2014",20,0,0,0,10,6,1154
"08/12/2014",20,1,0,0,8.2,9,1138
"08/13/2014",11,1,0,0,6.2,15.5,1152
"08/14/2014",20,0,0,0,10,11.4,1156
"08/15/2014",20,0,0,0,10,9,1157
"08/16/2014",12,0,0,0,10,7.2,965
"08/17/2014",20,1,0,0,9,10.4,1041
"08/18/2014",20,0,0,0,10,8.8,1156
"08/19/2014",20,0,0,0,10,6,1138
"08/20/2014",20,0,0,0,10,5.4,1145
"08/21/2014",20,0,0,0,10,5.2,1149
"08/22/2014",20,1,0,0,9.6,5.7,1149
"08/23/2014",12,0,0,0,10,5.4,941
"08/24/2014",20,0,0,0,10,3.9,1024
"08/25/2014",20,0,0,0,10,5.1,1150
"08/26/2014",20,0,0,0,10,5.2,1135
"08/27/2014",20,0,0,0,10,5.5,1143
"08/28/2014",20,0,0,0,10,9,1149
"08/29/2014",20,0,0,0,10,7.3,1148
"08/30/2014",12,0,0,0,10,6.5,897
"08/31/2014",12,0,0,0,10,7.9,870
"09/01/2014",12,0,0,0,9.3,5.4,1039
"09/02/2014",20,0,0,0,10,6.2,1110
"09/03/2014",3,0,0,0,10,9.3,1002
"09/04/2014",12,0,0,0,10,7.2,1006
"09/05/2014",12,0,0,0,10,8.3,1007
"09/06/2014",2,0,0,0,10,5.8,840
"09/07/2014",12,0,0,0,10,9.1,968
"09/08/2014",20,0,0,0,10,6.1,1116
"09/09/2014",3,0,0,0,10,9.1,1090
"09/10/2014",20,0,0,0,10,6.7,1091
"09/11/2014",1,0,0,0,10,8.6,1030
"09/12/2014",20,0,0,0,10,8.7,1110
"09/15/2014",20,0,0,0,10,5.1,1107
"09/16/2014",20,0,0,0,9.3,4.9,1084
"09/17/2014",3,0,0,0,10,4.4,1085
"09/18/2014",20,0,0,0,10,4.7,1109
"09/19/2014",20,0,0,0,10,7.2,1105
"09/20/2014",2,0,0,0,10,7.3,830
"09/21/2014",12,0,0,0,7,9.9,942
"09/22/2014",10,0,0,0,10,14.7,1065
"09/23/2014",8,0,0,0,10,10.2,1037
"09/24/2014",3,0,0,0,10,6.5,1025
"09/25/2014",5,1,0,0,6.1,12.2,982
"09/26/2014",3,0,0,0,10,9.5,991
"09/27/2014",2,0,0,0,10,3.8,823
"09/28/2014",12,0,0,0,10,5.9,943
"09/29/2014",3,0,0,0,10,4.7,1060
"09/30/2014",3,0,0,0,9.7,4.6,1033
"10/01/2014",3,1,0,0,8.2,7.2,1034
"10/02/2014",3,0,0,0,10,7.7,1056
"10/03/2014",3,0,0,0,10,4.3,1061
"10/04/2014",5,1,0,0,5.2,11.3,822
"10/05/2014",12,0,0,0,10,10.9,940
"10/06/2014",3,0,0,0,10,9.8,1068
"10/07/2014",18,0,0,0,10,14.5,1037
"10/08/2014",18,1,0,0,9.2,15.1,1039
"10/09/2014",3,0,0,0,10,11.3,1056
"10/10/2014",3,0,0,0,10,10.1,1063
"10/11/2014",11,1,0,0,7,7.6,831
"10/12/2014",3,0,0,0,10,3.9,948
"10/13/2014",3,0,0,0,10,5,1067
"10/14/2014",3,0,0,0,7,8.8,1039
"10/15/2014",3,0,0,0,10,9.3,1036
"10/16/2014",11,1,0,0,6.7,14.1,1054
"10/17/2014",3,0,0,0,10,7.7,1059
"10/18/2014",2,0,0,0,10,8.6,827
"10/19/2014",10,0,0,0,10,14.2,945
"10/20/2014",3,0,0,0,10,8.5,1061
"10/21/2014",3,0,0,0,10,5.3,1035
"10/22/2014",5,1,0,0,7,11.5,1034
"10/23/2014",18,1,0,0,10,18.7,1054
"10/24/2014",8,0,0,0,10,13.3,1059
"10/25/2014",2,0,0,0,10,9.2,827
"10/26/2014",18,0,0,0,10,15.4,936
"10/27/2014",8,0,0,0,10,9.5,1089
"10/28/2014",12,0,0,0,10,4.2,1030
"10/29/2014",1,0,0,0,10,6.6,1022
"10/30/2014",12,0,0,0,10,5.8,1042
"10/31/2014",1,0,0,0,10,5.6,1027
"11/01/2014",7,1,0,0,5,14.3,803
"11/02/2014",18,1,0,0,10,27.1,883
"11/03/2014",8,0,0,0,10,17.1,1015
"11/04/2014",6,0,0,0,10,7.2,974
"11/05/2014",6,0,0,0,10,8.7,1001
"11/06/2014",16,1,0,0,4.8,5.7,1020
"11/07/2014",13,1,0,0,7.3,10.8,1026
"11/08/2014",2,0,0,0,10,9.9,780
"11/09/2014",6,0,0,0,10,6.2,877
"11/10/2014",12,0,0,0,10,3.7,1012
"11/11/2014",12,0,0,0,10,4,991
"11/12/2014",4,0,0,0,4.1,3.9,997
"11/13/2014",8,0,0,0,10,9.2,1017
"11/14/2014",10,1,1,0,9.3,10.6,1021
"11/15/2014",2,0,0,0,10,5.7,773
"11/16/2014",12,0,0,0,10,4.8,876
"11/17/2014",16,1,0,0,3.7,3.9,1015
"11/18/2014",18,0,0,0,10,20.8,994
"11/19/2014",18,0,0,0,10,14.3,994
"11/20/2014",18,0,0,0,10,14.2,1022
"11/21/2014",10,0,0,0,10,15.8,1032
"11/22/2014",2,0,0,0,10,8.6,790
"11/23/2014",6,0,0,0,10,7.8,832
"11/24/2014",5,1,0,0,6.8,18.3,882
"11/25/2014",6,0,0,0,10,10.5,976
"11/26/2014",16,1,1,0,4.8,11.4,1009
"11/27/2014",13,1,0,0,7.7,12.9,805
"11/28/2014",2,0,0,0,10,7.6,710
"11/29/2014",12,0,0,0,10,4.8,954
"11/30/2014",12,0,0,0,10,8.4,1011
"12/01/2014",6,0,0,0,10,5.7,1044
"12/02/2014",8,1,0,0,10,13.2,999
"12/03/2014",11,1,0,0,4.7,7.9,988
"12/04/2014",8,0,0,0,10,12.5,1011
"12/05/2014",6,0,0,0,10,6.2,1022
"12/06/2014",16,1,0,0,4.5,6.4,755
